row,base,ai,sim,error
0,Question_1,no,no,
0,Question_1.1,no,no,
0,Question_1.1_2,no,no,
0,Question_1.1_3,no,no,
0,Question_1.1_4,no,no,
0,Question_1.1_5,no,no,
0,Question_10,no,no,
0,Question_2,no,no,
0,Question_2.1,no,no,
0,Question_2.1_2,no,no,
0,Question_2.1_3,no,no,
0,Question_2.2,no,no,
0,Question_2.2_2,no,no,
0,Question_2_2,no,no,
0,Question_3.1,no,no,
0,Question_3.1_2,no,no,
0,Question_4,no,no,
0,Question_4.1,no,no,
0,Question_4_2,no,no,
0,Question_5,no,no,
0,Question_5.1,no,no,
0,Question_5.1_2,no,no,
0,Question_5.1_3,no,no,
0,Question_5.1_4,no,no,
0,Question_7,no,no,
0,Question_7.1,no,no,
0,Question_7_2,no,no,
0,Question_8,no,no,
0,Question_8_2,no,no,
0,Question_9.1,no,no,
1,Question_1,no,no,
1,Question_1.1,no,no,
1,Question_1.1_2,no,no,
1,Question_1.1_3,no,no,
1,Question_1.1_4,no,no,
1,Question_1.1_5,no,no,
1,Question_10,no,no,
1,Question_2,no,no,
1,Question_2.1,no,no,
1,Question_2.1_2,no,no,
1,Question_2.1_3,no,no,
1,Question_2.2,no,no,
1,Question_2.2_2,no,no,
1,Question_2_2,no,no,
1,Question_3.1,no,no,
1,Question_3.1_2,no,no,
1,Question_4,no,no,
1,Question_4.1,no,no,
1,Question_4_2,no,no,
1,Question_5,no,no,
1,Question_5.1,no,no,
1,Question_5.1_2,no,no,
1,Question_5.1_3,no,no,
1,Question_5.1_4,no,no,
1,Question_7,no,no,
1,Question_7.1,no,no,
1,Question_7_2,no,no,
1,Question_8,no,no,
1,Question_8_2,no,no,
1,Question_9.1,no,no,
2,Question_1,yes,yes,
2,Question_1.1,yes,yes,
2,Question_1.1_2,no,no,
2,Question_1.1_3,no,no,
2,Question_1.1_4,no,no,
2,Question_1.1_5,no,no,
2,Question_10,yes,yes,
2,Question_2,yes,yes,
2,Question_2.1,yes,yes,
2,Question_2.1_2,no,no,
2,Question_2.1_3,no,no,
2,Question_2.2,yes,yes,
2,Question_2.2_2,no,no,
2,Question_2_2,no,no,
2,Question_3.1,no,no,
2,Question_3.1_2,no,no,
2,Question_4,yes,yes,
2,Question_4.1,yes,yes,
2,Question_4_2,no,no,
2,Question_5,yes,yes,
2,Question_5.1,yes,yes,
2,Question_5.1_2,no,no,
2,Question_5.1_3,no,no,
2,Question_5.1_4,no,no,
2,Question_7,yes,yes,
2,Question_7.1,yes,yes,
2,Question_7_2,no,no,
2,Question_8,yes,yes,
2,Question_8_2,no,no,
2,Question_9.1,no,no,
3,Question_1,no,no,
3,Question_1.1,no,no,
3,Question_1.1_2,no,no,
3,Question_1.1_3,no,no,
3,Question_1.1_4,no,no,
3,Question_1.1_5,no,no,
3,Question_10,no,no,
3,Question_2,no,no,
3,Question_2.1,no,no,
3,Question_2.1_2,no,no,
3,Question_2.1_3,no,no,
3,Question_2.2,no,no,
3,Question_2.2_2,no,no,
3,Question_2_2,no,no,
3,Question_3.1,no,no,
3,Question_3.1_2,no,no,
3,Question_4,no,no,
3,Question_4.1,no,no,
3,Question_4_2,no,no,
3,Question_5,no,no,
3,Question_5.1,no,no,
3,Question_5.1_2,no,no,
3,Question_5.1_3,no,no,
3,Question_5.1_4,no,no,
3,Question_7,no,no,
3,Question_7.1,no,no,
3,Question_7_2,no,no,
3,Question_8,no,no,
3,Question_8_2,no,no,
3,Question_9.1,no,no,
4,Question_1,yes,yes,
4,Question_1.1,yes,yes,
4,Question_1.1_2,no,no,
4,Question_1.1_3,no,no,
4,Question_1.1_4,no,no,
4,Question_1.1_5,no,no,
4,Question_10,yes,yes,
4,Question_2,yes,yes,
4,Question_2.1,no,no,
4,Question_2.1_2,no,no,
4,Question_2.1_3,no,no,
4,Question_2.2,yes,yes,
4,Question_2.2_2,no,no,
4,Question_2_2,no,no,
4,Question_3.1,no,no,
4,Question_3.1_2,no,no,
4,Question_4,yes,yes,
4,Question_4.1,yes,yes,
4,Question_4_2,no,no,
4,Question_5,yes,yes,
4,Question_5.1,no,no,
4,Question_5.1_2,no,no,
4,Question_5.1_3,no,no,
4,Question_5.1_4,no,no,
4,Question_7,yes,yes,
4,Question_7.1,no,no,
4,Question_7_2,no,no,
4,Question_8,yes,yes,
4,Question_8_2,no,no,
4,Question_9.1,yes,yes,
5,Question_1,no,no,
5,Question_1.1,no,no,
5,Question_1.1_2,no,no,
5,Question_1.1_3,no,no,
5,Question_1.1_4,no,no,
5,Question_1.1_5,no,no,
5,Question_10,no,no,
5,Question_2,no,no,
5,Question_2.1,no,no,
5,Question_2.1_2,no,no,
5,Question_2.1_3,no,no,
5,Question_2.2,no,no,
5,Question_2.2_2,no,no,
